Species	NCBI/VEuPathDB Accession ID	Taxonomic group	Length of contamination (bp)	Contaminant species
Trichuris trichiura	GCA_000613005.1	Bacteria	2654	Phocea massiliensis
Trichuris trichiura	GCA_000613005.1	Bacteria	4291	Pluralibacter sp.
Trichuris trichiura	GCA_000613005.1	Bacteria	4789	Prevotella copri
Trichuris trichiura	GCA_000613005.1	Bacteria	2340	Ruminococcus sp.
Trichuris trichiura	GCA_000613005.1	Bacteria	19205	Salmonella enterica
Trichuris trichiura	GCA_000613005.1	Bacteria	42672	Shigella dysenteriae
Trichuris trichiura	GCA_000613005.1	Bacteria	30278	Shigella flexneri
Trichuris trichiura	GCA_000613005.1	Bacteria	14091	Shigella sonnei
Trichuris trichiura	GCA_000613005.1	Bacteria	4693	Shigella sp.
Trichuris trichiura	GCA_000613005.1	Bacteria	30414	Streptococcus gallolyticus
Trichuris trichiura	GCA_000613005.1	Bacteria	10242	Streptococcus sp.
Trichuris trichiura	GCA_000613005.1	Bacteria	3018	Succinatimonas sp.
Trichuris trichiura	GCA_000613005.1	Bacteria	2112	Succinivibrio dextrinosolvens
Trichuris trichiura	GCA_000613005.1	Bacteria	7208	Vescimonas coprocola
Trichuris trichiura	GCA_000613005.1	Bacteria	1071	[Clostridium] scindens
Trichuris trichiura	GCA_000613005.1	Virus	3642	Burzaovirus intestinihominis
Trichuris trichiura	GCA_000613005.1	Virus	13853	Enterobacteria phage
Trichuris trichiura	GCA_000613005.1	Virus	13301	Escherichia phage
Trichuris trichiura	GCA_000613005.1	Virus	4625	Escherichia ruysiae
Trichuris trichiura	GCA_000613005.1	Virus	4509	Succinatimonas sp.
Ancylostoma ceylanicum	GCA_000688135.1	Bacteria	529	Methylobacterium symbioticum
Trypanosoma grayi	GCA_000691245.1	Other eukaryotes	1438	NA
Schmidtea mediterranea	GCA_000691995.1	Fungi	1350	Agyrium rufum
Schmidtea mediterranea	GCA_000691995.1	Fungi	33159	Aspergillus homomorphus
Schmidtea mediterranea	GCA_000691995.1	Fungi	608	Colletotrichum karsti
Schmidtea mediterranea	GCA_000691995.1	Fungi	4047	Hypoxylon rubiginosum
Schmidtea mediterranea	GCA_000691995.1	Fungi	10420	Monosporascus sp.
Schmidtea mediterranea	GCA_000691995.1	Fungi	3268	Nemania sp.
Schmidtea mediterranea	GCA_000691995.1	Fungi	3901	Neocallimastix californiae
Schmidtea mediterranea	GCA_000691995.1	Fungi	1768	Paramyrothecium sp.
Schmidtea mediterranea	GCA_000691995.1	Fungi	1855	NA
Schmidtea mediterranea	GCA_000691995.1	Viridiplantae	395	Zingiber officinale
Schmidtea mediterranea	GCA_000691995.1	Viridiplantae	4120	NA
Schmidtea mediterranea	GCA_000691995.1	Bacteria	204163	Candidatus Symbiobacter
Schmidtea mediterranea	GCA_000691995.1	Bacteria	1322240	Rhodoferax aquaticus
Schmidtea mediterranea	GCA_000691995.1	Bacteria	412137	Rhodoferax bucti
Schmidtea mediterranea	GCA_000691995.1	Bacteria	87124	Rhodoferax ferrireducens
Schmidtea mediterranea	GCA_000691995.1	Other eukaryotes	649	Pseudocohnilembus persalinus
Schmidtea mediterranea	GCA_000691995.1	Other eukaryotes	714	Tetrahymena thermophila
Trichuris suis	GCA_000701005.1	Viridiplantae	285	Lupinus angustifolius
Trichuris suis	GCA_000701005.1	Viridiplantae	275	Rhodamnia argentea
Trichuris suis	GCA_000701025.1	Metazoa	662	Homo sapiens
Trichuris suis	GCA_000701025.1	Bacteria	10082	Chlamydia suis
Gyrodactylus salaris	GCA_000715275.1	Metazoa	244178	Salmo salar
Gyrodactylus salaris	GCA_000715275.1	Bacteria	9466	Comamonas suwonensis
Gyrodactylus salaris	GCA_000715275.1	Bacteria	1311	Flavobacterium gawalongense
Gyrodactylus salaris	GCA_000715275.1	Other eukaryotes	4699	Saprolegnia parasitica
Babesia bigemina	GCA_000723445.1	Metazoa	8895	Ovis aries
Babesia bigemina	GCA_000723445.1	Bacteria	2143	Escherichia sp.
Babesia bigemina	GCA_000723445.1	Bacteria	2064	Pseudomonas glycinae
Babesia bigemina	GCA_000723445.1	Virus	2615	Alicyclobacillus fastidiosus
Babesia bigemina	GCA_000723445.1	Virus	4523	Cupriavidus pauculus
Babesia bigemina	GCA_000723445.1	Virus	1854	Enterobacteria phage
Babesia bigemina	GCA_000723445.1	Virus	1947	Huaxiibacter chinensis
Babesia bigemina	GCA_000723445.1	Virus	3228	Rhesus cytomegalovirus
Globodera pallida	GCA_000724045.1	Fungi	4284	Ceratobasidium sp.
Globodera pallida	GCA_000724045.1	Fungi	1092	Clonostachys rosea
Globodera pallida	GCA_000724045.1	Fungi	53465	Fusarium newnesense
Globodera pallida	GCA_000724045.1	Fungi	1118	Fusarium setosum
Globodera pallida	GCA_000724045.1	Fungi	15482	Fusarium verticillioides
Globodera pallida	GCA_000724045.1	Fungi	533	Physcia stellaris
Globodera pallida	GCA_000724045.1	Fungi	1109	Pyrenochaeta sp.
Globodera pallida	GCA_000724045.1	Viridiplantae	1245	Ricinus communis
Globodera pallida	GCA_000724045.1	Viridiplantae	3763	Solanum verrucosum
Globodera pallida	GCA_000724045.1	Bacteria	2939	Actinoplanes auranticolor
Globodera pallida	GCA_000724045.1	Bacteria	12196	Agrobacterium fabrum
Globodera pallida	GCA_000724045.1	Bacteria	1661	Azomonas macrocytogenes
Globodera pallida	GCA_000724045.1	Bacteria	1491	Bradyrhizobium cytisi
Globodera pallida	GCA_000724045.1	Bacteria	1250	Bradyrhizobium murdochi
Globodera pallida	GCA_000724045.1	Bacteria	1082	Caulobacter radicis
Globodera pallida	GCA_000724045.1	Bacteria	1045	Chitinophaga ginsengisoli
Globodera pallida	GCA_000724045.1	Bacteria	2139	Chryseobacterium nepalense
Globodera pallida	GCA_000724045.1	Bacteria	1011	Cohnella cholangitidis
Globodera pallida	GCA_000724045.1	Bacteria	1059	Diaphorobacter ruginosibacter
Globodera pallida	GCA_000724045.1	Bacteria	8598	Dyadobacter fermentans
Globodera pallida	GCA_000724045.1	Bacteria	9157	Dyadobacter jiangsuensis
Globodera pallida	GCA_000724045.1	Bacteria	2274	Dyadobacter luticola
Globodera pallida	GCA_000724045.1	Bacteria	17872	Dyadobacter soli
Globodera pallida	GCA_000724045.1	Bacteria	4196	Dyadobacter sp.
Globodera pallida	GCA_000724045.1	Bacteria	2924	Leifsonia soli
Globodera pallida	GCA_000724045.1	Bacteria	1004	Massilia forsythiae
Globodera pallida	GCA_000724045.1	Bacteria	3815	Microbacterium oxydans
Globodera pallida	GCA_000724045.1	Bacteria	1517	Mycolicibacterium bacteremicum
Globodera pallida	GCA_000724045.1	Bacteria	1498	Neorhizobium galegae
Globodera pallida	GCA_000724045.1	Bacteria	1075	Novosphingobium sp.
Globodera pallida	GCA_000724045.1	Bacteria	1423	Paenarthrobacter ilicis
Globodera pallida	GCA_000724045.1	Bacteria	1890	Paenarthrobacter nicotinovorans
Globodera pallida	GCA_000724045.1	Bacteria	6172	Parachryseolinea silvisoli
Globodera pallida	GCA_000724045.1	Bacteria	2542	Paracoccus salsus
Globodera pallida	GCA_000724045.1	Bacteria	2091	Pedobacter africanus
Globodera pallida	GCA_000724045.1	Bacteria	1026	Pedobacter ghigonis
Globodera pallida	GCA_000724045.1	Bacteria	1004	Pedobacter heparinus
Globodera pallida	GCA_000724045.1	Bacteria	1202	Pseudochryseolinea flava
Globodera pallida	GCA_000724045.1	Bacteria	1069	Pseudomonas moraviensis
Globodera pallida	GCA_000724045.1	Bacteria	1015	Pseudoxanthomonas composti
Globodera pallida	GCA_000724045.1	Bacteria	1236	Rhizobium album
Globodera pallida	GCA_000724045.1	Bacteria	1215	Rhizobium chutanense
Globodera pallida	GCA_000724045.1	Bacteria	1207	Rhizobium oryzihabitans
Globodera pallida	GCA_000724045.1	Bacteria	3583	Simplicispira hankyongi
Globodera pallida	GCA_000724045.1	Bacteria	2725	Sphingomonas cannabina
Globodera pallida	GCA_000724045.1	Bacteria	105825	Sphingomonas kyeonggiensis
Globodera pallida	GCA_000724045.1	Bacteria	6969	Sphingomonas leidyi
Globodera pallida	GCA_000724045.1	Bacteria	1123	Staphylococcus shinii
Globodera pallida	GCA_000724045.1	Bacteria	7963	Stenotrophomonas bentonitica
Globodera pallida	GCA_000724045.1	Bacteria	1235	Streptomyces anandii
Globodera pallida	GCA_000724045.1	Bacteria	10075	Streptomyces cyaneochromogenes
Globodera pallida	GCA_000724045.1	Bacteria	1037	Streptomyces rubrogriseus
Globodera pallida	GCA_000724045.1	Bacteria	5412	Tardiphaga robiniae
Globodera pallida	GCA_000724045.1	Bacteria	1880	Zavarzinia marina
Globodera pallida	GCA_000724045.1	Bacteria	2800	NA
Globodera pallida	GCA_000724045.1	Other eukaryotes	1034	Babesia bigemina
Globodera pallida	GCA_000724045.1	Other eukaryotes	3507	Tetrahymena thermophila
Globodera pallida	GCA_000724045.1	Other eukaryotes	2260	NA
Globodera pallida	GCA_000724045.1	Virus	1365	Cupriavidus pauculus
Sarcocystis neurona	GCA_000727475.1	Metazoa	6153	Leptinotarsa decemlineata
Sarcocystis neurona	GCA_000727475.1	Viridiplantae	569	Nicotiana tabacum
Loa loa	GCA_000733445.1	Fungi	1575	NA
Loa loa	GCA_000733445.1	Viridiplantae	1130	NA
Meloidogyne floridensis	GCA_000751915.1	Viridiplantae	242	Prunus persica
Meloidogyne floridensis	GCA_000751915.1	Viridiplantae	637	Solanum verrucosum
Meloidogyne floridensis	GCA_000751915.1	Bacteria	1144	Croceicoccus naphthovorans
Meloidogyne floridensis	GCA_000751915.1	Bacteria	483	Janthinobacterium tructae
Meloidogyne floridensis	GCA_000751915.1	Bacteria	8525	Novosphingobium aerophilum
Meloidogyne floridensis	GCA_000751915.1	Bacteria	4153	Novosphingobium aquimarinum
Meloidogyne floridensis	GCA_000751915.1	Bacteria	6311	Novosphingobium barchaimii
Meloidogyne floridensis	GCA_000751915.1	Bacteria	3032	Novosphingobium clariflavum
Meloidogyne floridensis	GCA_000751915.1	Bacteria	2002	Novosphingobium guangzhouense
Meloidogyne floridensis	GCA_000751915.1	Bacteria	5939	Novosphingobium silvae
Meloidogyne floridensis	GCA_000751915.1	Bacteria	628	Ralstonia pickettii
Meloidogyne floridensis	GCA_000751915.1	Bacteria	490	Rhizorhabdus dicambivorans
Meloidogyne floridensis	GCA_000751915.1	Bacteria	253	Rhizorhabdus sp.
Meloidogyne floridensis	GCA_000751915.1	Bacteria	1695	Sphingobium algorifonticola
Meloidogyne floridensis	GCA_000751915.1	Bacteria	1164	Sphingobium chungbukense
Meloidogyne floridensis	GCA_000751915.1	Bacteria	4129	Sphingobium cloacae
Meloidogyne floridensis	GCA_000751915.1	Bacteria	5381	Sphingobium estronivorans
Meloidogyne floridensis	GCA_000751915.1	Bacteria	1435	Sphingobium limneticum
Meloidogyne floridensis	GCA_000751915.1	Bacteria	3935	Sphingobium naphthae
Meloidogyne floridensis	GCA_000751915.1	Bacteria	559	Sphingobium scionense
Meloidogyne floridensis	GCA_000751915.1	Bacteria	200	Sphingobium terrigena
Meloidogyne floridensis	GCA_000751915.1	Bacteria	97256	Sphingobium yanoikuyae
Meloidogyne floridensis	GCA_000751915.1	Bacteria	4334	Sphingomonas abaci
Meloidogyne floridensis	GCA_000751915.1	Bacteria	3920	Sphingomonas baiyangensis
Meloidogyne floridensis	GCA_000751915.1	Bacteria	960	Sphingomonas carotinifaciens
Meloidogyne floridensis	GCA_000751915.1	Bacteria	277	Sphingomonas echinoides
Meloidogyne floridensis	GCA_000751915.1	Bacteria	248	Sphingomonas koreensis
Meloidogyne floridensis	GCA_000751915.1	Bacteria	4631	Sphingomonas mali
Meloidogyne floridensis	GCA_000751915.1	Bacteria	1094	Sphingomonas pseudosanguinis
Meloidogyne floridensis	GCA_000751915.1	Bacteria	246	Sphingomonas trueperi
Meloidogyne floridensis	GCA_000751915.1	Bacteria	248	Sphingopyxis flava
Meloidogyne floridensis	GCA_000751915.1	Bacteria	5070	Sphingopyxis italica
Meloidogyne floridensis	GCA_000751915.1	Bacteria	200	Stakelama pacifica
Meloidogyne floridensis	GCA_000751915.1	Bacteria	407	NA
Steinernema feltiae	GCA_000757705.1	Bacteria	2023	Acidovorax temperans
Steinernema feltiae	GCA_000757705.1	Bacteria	2891	Afipia birgiae
Steinernema feltiae	GCA_000757705.1	Bacteria	3768	Aquabacterium parvum
Steinernema feltiae	GCA_000757705.1	Bacteria	2654	Candidatus Didemnitutus
Steinernema feltiae	GCA_000757705.1	Bacteria	1580	Candidatus Vicinibacter
Steinernema feltiae	GCA_000757705.1	Bacteria	870	Comamonas sp.
Steinernema feltiae	GCA_000757705.1	Bacteria	719	Delftia acidovorans
Steinernema feltiae	GCA_000757705.1	Bacteria	969	Delftia tsuruhatensis
Steinernema feltiae	GCA_000757705.1	Bacteria	825	Diaphorobacter caeni
Steinernema feltiae	GCA_000757705.1	Bacteria	5542	Dyadobacter psychrophilus
Steinernema feltiae	GCA_000757705.1	Bacteria	752	Extensimonas perlucida
Steinernema feltiae	GCA_000757705.1	Bacteria	1057	Melaminivora jejuensis
Steinernema feltiae	GCA_000757705.1	Bacteria	3194	Niabella drilacis
Steinernema feltiae	GCA_000757705.1	Bacteria	5881	Pedobacter cryotolerans
Steinernema feltiae	GCA_000757705.1	Bacteria	18394	Pseudomonas allii
Steinernema feltiae	GCA_000757705.1	Bacteria	1043	Pseudomonas antarctica
Steinernema feltiae	GCA_000757705.1	Bacteria	644	Pseudomonas aylmerensis
Steinernema feltiae	GCA_000757705.1	Bacteria	9603	Pseudomonas azotoformans
Steinernema feltiae	GCA_000757705.1	Bacteria	1222	Pseudomonas borbori
Steinernema feltiae	GCA_000757705.1	Bacteria	3030	Pseudomonas cedrina
Steinernema feltiae	GCA_000757705.1	Bacteria	1374	Pseudomonas cremoris
Steinernema feltiae	GCA_000757705.1	Bacteria	1206	Pseudomonas cyclaminis
Steinernema feltiae	GCA_000757705.1	Bacteria	2404	Pseudomonas extremaustralis
Steinernema feltiae	GCA_000757705.1	Bacteria	48009	Pseudomonas gessardii
Steinernema feltiae	GCA_000757705.1	Bacteria	8154	Pseudomonas grimontii
Steinernema feltiae	GCA_000757705.1	Bacteria	3139	Pseudomonas hamedanensis
Steinernema feltiae	GCA_000757705.1	Bacteria	3298	Pseudomonas kairouanensis
Steinernema feltiae	GCA_000757705.1	Bacteria	410	Pseudomonas kielensis
Steinernema feltiae	GCA_000757705.1	Bacteria	5639	Pseudomonas lurida
Steinernema feltiae	GCA_000757705.1	Bacteria	1825	Pseudomonas marginalis
Steinernema feltiae	GCA_000757705.1	Bacteria	949	Pseudomonas orientalis
Steinernema feltiae	GCA_000757705.1	Bacteria	1463	Pseudomonas palleroniana
Steinernema feltiae	GCA_000757705.1	Bacteria	16631	Pseudomonas petroselini
Steinernema feltiae	GCA_000757705.1	Bacteria	439	Pseudomonas pisciculturae
Steinernema feltiae	GCA_000757705.1	Bacteria	673654	Pseudomonas reactans
Steinernema feltiae	GCA_000757705.1	Bacteria	721	Pseudomonas salomonii
Steinernema feltiae	GCA_000757705.1	Bacteria	36858	Pseudomonas saponiphila
Steinernema feltiae	GCA_000757705.1	Bacteria	64369	Pseudomonas simiae
Steinernema feltiae	GCA_000757705.1	Bacteria	1118	Pseudomonas sp.
Steinernema feltiae	GCA_000757705.1	Bacteria	1325	Pseudomonas tolaasii
Steinernema feltiae	GCA_000757705.1	Bacteria	8711	Pseudomonas tritici
Steinernema feltiae	GCA_000757705.1	Bacteria	465	Pseudomonas vancouverensis
Steinernema feltiae	GCA_000757705.1	Bacteria	2347	Pseudomonas veronii
Steinernema feltiae	GCA_000757705.1	Bacteria	1171	Xenorhabdus bovienii
Steinernema feltiae	GCA_000757705.1	Bacteria	1734	Xenorhabdus kozodoii
Steinernema feltiae	GCA_000757705.1	Bacteria	367	NA
Steinernema scapterisci	GCA_000757745.1	Viridiplantae	728	NA
Steinernema scapterisci	GCA_000757745.1	Bacteria	1935	Achromobacter insuavis
Steinernema scapterisci	GCA_000757745.1	Bacteria	894	Achromobacter xylosoxidans
Steinernema scapterisci	GCA_000757745.1	Bacteria	1871	Acidovorax avenae
Steinernema scapterisci	GCA_000757745.1	Bacteria	1374	Acidovorax cattleyae
Steinernema scapterisci	GCA_000757745.1	Bacteria	53735	Alcaligenes faecalis
Steinernema scapterisci	GCA_000757745.1	Bacteria	29343	Arsenophonus apicola
Steinernema scapterisci	GCA_000757745.1	Bacteria	2602	Citrobacter rodentium
Steinernema scapterisci	GCA_000757745.1	Bacteria	5276	Citrobacter sp.
Steinernema scapterisci	GCA_000757745.1	Bacteria	458	Comamonas thiooxydans
Steinernema scapterisci	GCA_000757745.1	Bacteria	9540	Delftia acidovorans
Steinernema scapterisci	GCA_000757745.1	Bacteria	22642	Delftia tsuruhatensis
Steinernema scapterisci	GCA_000757745.1	Bacteria	4885	Elizabethkingia anophelis
Steinernema scapterisci	GCA_000757745.1	Bacteria	1996	Janthinobacterium tructae
Steinernema scapterisci	GCA_000757745.1	Bacteria	1882	Kosakonia radicincitans
Steinernema scapterisci	GCA_000757745.1	Bacteria	7542	Luteimonas aestuarii
Steinernema scapterisci	GCA_000757745.1	Bacteria	1083	Morganella psychrotolerans
Steinernema scapterisci	GCA_000757745.1	Bacteria	1012	Photorhabdus antumapuensis
Steinernema scapterisci	GCA_000757745.1	Bacteria	21582	Proteus hauseri
Steinernema scapterisci	GCA_000757745.1	Bacteria	104904	Proteus terrae
Steinernema scapterisci	GCA_000757745.1	Bacteria	35408	Providencia alcalifaciens
Steinernema scapterisci	GCA_000757745.1	Bacteria	1672	Providencia burhodogranariea
Steinernema scapterisci	GCA_000757745.1	Bacteria	8177	Providencia heimbachae
Steinernema scapterisci	GCA_000757745.1	Bacteria	18836	Providencia huaxiensis
Steinernema scapterisci	GCA_000757745.1	Bacteria	20422	Providencia rettgeri
Steinernema scapterisci	GCA_000757745.1	Bacteria	11146	Providencia sneebia
Steinernema scapterisci	GCA_000757745.1	Bacteria	1502	Providencia sp.
Steinernema scapterisci	GCA_000757745.1	Bacteria	161533	Providencia vermicola
Steinernema scapterisci	GCA_000757745.1	Bacteria	579	Pseudomonas protegens
Steinernema scapterisci	GCA_000757745.1	Bacteria	13433	Sphingobacterium tabacisoli
Steinernema scapterisci	GCA_000757745.1	Bacteria	2918	Stenotrophomonas geniculata
Steinernema scapterisci	GCA_000757745.1	Bacteria	58462	Stenotrophomonas pavanii
Steinernema scapterisci	GCA_000757745.1	Bacteria	3930	Vibrio quintilis
Steinernema scapterisci	GCA_000757745.1	Bacteria	10471	Xenorhabdus budapestensis
Steinernema scapterisci	GCA_000757745.1	Bacteria	9782	Xenorhabdus cabanillasii
Steinernema scapterisci	GCA_000757745.1	Bacteria	409	Xenorhabdus ehlersii
Steinernema scapterisci	GCA_000757745.1	Bacteria	1652	Xenorhabdus hominickii
Steinernema scapterisci	GCA_000757745.1	Bacteria	11468	Xenorhabdus indica
Steinernema scapterisci	GCA_000757745.1	Bacteria	1645325	Xenorhabdus innexi
Steinernema scapterisci	GCA_000757745.1	Bacteria	640	Xenorhabdus ishibashii
Steinernema scapterisci	GCA_000757745.1	Bacteria	846	Xenorhabdus khoisanae
Steinernema scapterisci	GCA_000757745.1	Bacteria	36418	Xenorhabdus lircayensis
Steinernema scapterisci	GCA_000757745.1	Bacteria	7043	Xenorhabdus mauleonii
Steinernema scapterisci	GCA_000757745.1	Bacteria	1239	Xenorhabdus nematophila
Steinernema scapterisci	GCA_000757745.1	Bacteria	307643	Xenorhabdus stockiae
Steinernema scapterisci	GCA_000757745.1	Bacteria	14257	Xenorhabdus szentirmaii
Steinernema scapterisci	GCA_000757745.1	Bacteria	333	NA
Steinernema scapterisci	GCA_000757745.1	Virus	35022	Providencia huaxiensis
Steinernema scapterisci	GCA_000757745.1	Virus	531	NA
Steinernema glaseri	GCA_000757755.1	Bacteria	2111	Achromobacter ruhlandii
Steinernema glaseri	GCA_000757755.1	Bacteria	1881	Acidovorax wautersii
Steinernema glaseri	GCA_000757755.1	Bacteria	5422	Alcaligenes ammonioxydans
Steinernema glaseri	GCA_000757755.1	Bacteria	39198	Alcaligenes aquatilis
Steinernema glaseri	GCA_000757755.1	Bacteria	532	Alcaligenes endophyticus
Steinernema glaseri	GCA_000757755.1	Bacteria	1578081	Alcaligenes faecalis
Steinernema glaseri	GCA_000757755.1	Bacteria	2639	Alcaligenes pakistanensis
Steinernema glaseri	GCA_000757755.1	Bacteria	12501	Aquincola tertiaricarbonis
Steinernema glaseri	GCA_000757755.1	Bacteria	1482	Azotobacter vinelandii
Steinernema glaseri	GCA_000757755.1	Bacteria	1197	Bordetella pseudohinzii
Steinernema glaseri	GCA_000757755.1	Bacteria	1627	Bordetella trematum
Steinernema glaseri	GCA_000757755.1	Bacteria	4465	Burkholderia anthina
Steinernema glaseri	GCA_000757755.1	Bacteria	4668	Caballeronia temeraria
Steinernema glaseri	GCA_000757755.1	Bacteria	1164	Castellaniella defragrans
Steinernema glaseri	GCA_000757755.1	Bacteria	9772	Chitinasiproducens palmae
Steinernema glaseri	GCA_000757755.1	Bacteria	1129	Cupriavidus alkaliphilus
Steinernema glaseri	GCA_000757755.1	Bacteria	4730	Cupriavidus sp.
Steinernema glaseri	GCA_000757755.1	Bacteria	1387	Eoetvoesia caeni
Steinernema glaseri	GCA_000757755.1	Bacteria	2460	Gallionella sp.
Steinernema glaseri	GCA_000757755.1	Bacteria	4331	Pigmentiphaga sp.
Steinernema glaseri	GCA_000757755.1	Bacteria	957	Plasticicumulans acidivorans
Steinernema glaseri	GCA_000757755.1	Bacteria	10862	Polaromonas jejuensis
Steinernema glaseri	GCA_000757755.1	Bacteria	19886	Pseudomonas aegrilactucae
Steinernema glaseri	GCA_000757755.1	Bacteria	1319	Pseudomonas alkylphenolica
Steinernema glaseri	GCA_000757755.1	Bacteria	895	Pseudomonas allii
Steinernema glaseri	GCA_000757755.1	Bacteria	1121	Pseudomonas anuradhapurensis
Steinernema glaseri	GCA_000757755.1	Bacteria	1411	Pseudomonas arcuscaelestis
Steinernema glaseri	GCA_000757755.1	Bacteria	360	Pseudomonas baetica
Steinernema glaseri	GCA_000757755.1	Bacteria	1184	Pseudomonas bharatica
Steinernema glaseri	GCA_000757755.1	Bacteria	730	Pseudomonas borbori
Steinernema glaseri	GCA_000757755.1	Bacteria	11908	Pseudomonas brassicae
Steinernema glaseri	GCA_000757755.1	Bacteria	817	Pseudomonas cedrina
Steinernema glaseri	GCA_000757755.1	Bacteria	1603	Pseudomonas ceruminis
Steinernema glaseri	GCA_000757755.1	Bacteria	611	Pseudomonas chlororaphis
Steinernema glaseri	GCA_000757755.1	Bacteria	1801	Pseudomonas cremoricolorata
Steinernema glaseri	GCA_000757755.1	Bacteria	1205	Pseudomonas cuatrocienegasensis
Steinernema glaseri	GCA_000757755.1	Bacteria	1525	Pseudomonas ekonensis
Steinernema glaseri	GCA_000757755.1	Bacteria	2334	Pseudomonas entomophila
Steinernema glaseri	GCA_000757755.1	Bacteria	2160	Pseudomonas eucalypticola
Steinernema glaseri	GCA_000757755.1	Bacteria	246	Pseudomonas faucium
Steinernema glaseri	GCA_000757755.1	Bacteria	763	Pseudomonas flavescens
Steinernema glaseri	GCA_000757755.1	Bacteria	1122	Pseudomonas fulva
Steinernema glaseri	GCA_000757755.1	Bacteria	777	Pseudomonas gessardii
Steinernema glaseri	GCA_000757755.1	Bacteria	664	Pseudomonas glycinae
Steinernema glaseri	GCA_000757755.1	Bacteria	706	Pseudomonas guangdongensis
Steinernema glaseri	GCA_000757755.1	Bacteria	4034	Pseudomonas hamedanensis
Steinernema glaseri	GCA_000757755.1	Bacteria	592	Pseudomonas hunanensis
Steinernema glaseri	GCA_000757755.1	Bacteria	505	Pseudomonas inefficax
Steinernema glaseri	GCA_000757755.1	Bacteria	3619	Pseudomonas japonica
Steinernema glaseri	GCA_000757755.1	Bacteria	429	Pseudomonas juntendi
Steinernema glaseri	GCA_000757755.1	Bacteria	676	Pseudomonas khorasanensis
Steinernema glaseri	GCA_000757755.1	Bacteria	946	Pseudomonas laurylsulfativorans
Steinernema glaseri	GCA_000757755.1	Bacteria	2090	Pseudomonas moorei
Steinernema glaseri	GCA_000757755.1	Bacteria	420	Pseudomonas ovata
Steinernema glaseri	GCA_000757755.1	Bacteria	604	Pseudomonas parafulva
Steinernema glaseri	GCA_000757755.1	Bacteria	484	Pseudomonas promysalinigenes
Steinernema glaseri	GCA_000757755.1	Bacteria	1754	Pseudomonas protegens
Steinernema glaseri	GCA_000757755.1	Bacteria	1750	Pseudomonas putida
Steinernema glaseri	GCA_000757755.1	Bacteria	879935	Pseudomonas qingdaonensis
Steinernema glaseri	GCA_000757755.1	Bacteria	394	Pseudomonas saponiphila
Steinernema glaseri	GCA_000757755.1	Bacteria	915	Pseudomonas shirazensis
Steinernema glaseri	GCA_000757755.1	Bacteria	671	Pseudomonas sichuanensis
Steinernema glaseri	GCA_000757755.1	Bacteria	425	Pseudomonas soli
Steinernema glaseri	GCA_000757755.1	Bacteria	480451	Pseudomonas sp.
Steinernema glaseri	GCA_000757755.1	Bacteria	1000	Pseudomonas taetrolens
Steinernema glaseri	GCA_000757755.1	Bacteria	1320	Pseudomonas tritici
Steinernema glaseri	GCA_000757755.1	Bacteria	1496	Pseudomonas urethralis
Steinernema glaseri	GCA_000757755.1	Bacteria	787	Pseudomonas urmiensis
Steinernema glaseri	GCA_000757755.1	Bacteria	672	Pseudomonas vanderleydeniana
Steinernema glaseri	GCA_000757755.1	Bacteria	602	Pseudomonas veronii
Steinernema glaseri	GCA_000757755.1	Bacteria	1439	Pseudomonas viciae
Steinernema glaseri	GCA_000757755.1	Bacteria	1758	Pseudomonas vranovensis
Steinernema glaseri	GCA_000757755.1	Bacteria	526	Pseudothauera rhizosphaerae
Steinernema glaseri	GCA_000757755.1	Bacteria	2817	Thauera butanivorans
Steinernema glaseri	GCA_000757755.1	Bacteria	9357	Variovorax soli
Steinernema glaseri	GCA_000757755.1	Bacteria	1181	Verticiella sediminum
Steinernema glaseri	GCA_000757755.1	Bacteria	1514	Xanthomonas hyacinthi
Steinernema glaseri	GCA_000757755.1	Bacteria	1084	NA
Steinernema glaseri	GCA_000757755.1	Virus	1458	Pseudomonas qingdaonensis
Steinernema glaseri	GCA_000757755.1	Virus	932	NA
Mitosporidium daphniae	GCA_000760515.2	Metazoa	89589	Daphnia magna
Mitosporidium daphniae	GCA_000760515.2	Fungi	2952	Letharia lupina
Mitosporidium daphniae	GCA_000760515.2	Fungi	7209	Penicillium decumbens
Mitosporidium daphniae	GCA_000760515.2	Viridiplantae	526	Tetradesmus obliquus
Cyclospora cayetanensis	GCA_000769155.2	Bacteria	3042	Arachidicoccus soli
Cyclospora cayetanensis	GCA_000769155.2	Bacteria	528	Bradyrhizobium sp.
Cyclospora cayetanensis	GCA_000769155.2	Bacteria	1249	Chryseobacterium taklimakanense
Cyclospora cayetanensis	GCA_000769155.2	Bacteria	815	Flavobacterium bizetiae
Cyclospora cayetanensis	GCA_000769155.2	Bacteria	123549	Hydrotalea flava
Cyclospora cayetanensis	GCA_000769155.2	Bacteria	2390	Hydrotalea sandarakina
Cyclospora cayetanensis	GCA_000769155.2	Bacteria	82195	Hydrotalea sp.
Cyclospora cayetanensis	GCA_000769155.2	Bacteria	1272	Mesorhizobium comanense
Cyclospora cayetanensis	GCA_000769155.2	Bacteria	835	Parabacteroides pacaensis
Cyclospora cayetanensis	GCA_000769155.2	Bacteria	5750	Staphylococcus capitis
Cyclospora cayetanensis	GCA_000769155.2	Virus	1371	CrAssphage YS1-2_2437
Cyclospora cayetanensis	GCA_000769155.2	Virus	2374	Junduvirus communis
